"保存フラグ","商品・役務名","類似群コード"
"01","カーボンナノチューブ","01A01"
"01","コーティング剤","01A01"
"01","コーティング剤（塗料を除く）","01A01"
"01","工業用タール除去剤","01A01"
"01","工業用ピッチ除去剤","01A01"
"01","工業用水垢除去剤","01A01"
"01","自動車のエンジンに付着したカーボンや汚泥を除去する為の化学剤","01A01"
"01","自動車のガラス用撥水剤","01A01"
"01","自動車のタイヤ用撥水剤","01A01"
"01","自動車のつや出し用撥水剤","01A01"
"01","自動車のパーツとしての金属や塗装の施された表面・クローム・布・革・プラスティックの保護用化学剤","01A01"
"01","自動車のホイール用コーティング剤","01A01"
"01","自動車のホイール用鉄粉除去剤","01A01"
"01","自動車のボディ用撥水剤","01A01"
"01","自動車の車体用鉄粉除去剤","01A01"
"01","自動車の樹脂製部品用コーティング剤","01A01"
"01","自動車の洗浄・研磨・艶出しに使用される化学品及び化学剤","01A01"
"01","自動車の窓ガラスに付着したうろこ状の汚れ（ウォータースポット）除去剤","01A01"
"01","自動車の窓ガラスに付着した糊除去剤","01A01"
"01","自動車の塗装面用コーティング剤","01A01"
"01","自動車窓ガラス曇り止め用化学剤","01A01"
"01","自動車窓ガラス用解氷剤","01A01"
"01","自動車用コーティング剤の添加剤","01A01"
"01","自動車用コーティング除去剤","01A01"
"01","食品工業用たんぱく質","01A01"
"01","食品用ゲル化剤","01A01"
"01","洗浄用のアルカリイオン水","01A01"
"01","炭化珪素","01A01"
"01","乳酸菌を含有する化学品","01A01"
"01","工業用のり及び接着剤（事務用又は家庭用のものを除く。）","01A02"
"01","メッキ処理面用の汚れ取り剤（工業用洗浄剤）","04A01"
"01","リチウムイオン二次電池の負極材用黒鉛","06B01"
"01","化粧品製造用工業用でん粉","33A03"
"01","化粧品製造用工業用粉類","33A03"
"01","工業用アルファ化でん粉","33A03"
"01","工業用加工でん粉","33A03"
"01","食品工業用でん粉","33A03"
"01","食品工業用粉類","33A03"
"01","食品製造用アルファ化でん粉","33A03"
"01","食品製造用工業用でん粉","33A03"
"01","酢酸でん粉","33A03"
"01","陽性でん粉","33A03"
"01","飼料製造用乳酸菌末","33D05"
"01","エポキシ樹脂","34A01"
"01","アクリル樹脂","34A01"
"01","ポリエチレン樹脂","34A01"
"01","工業用化学添加剤","01A01"
"01","植物活力剤","01B02"
"01","植物成長調整剤類用・肥料用の化学品","01A01"
"01","粉末状の化学品","01A01"
"01","防カビ剤","01A01"
"02","松根油","01A01"
"02","腐食防止剤","01A01"
"02","木材用下塗り塗料","03C01"
"02","インクジェットプリンター用インク","03D01"
"02","インクジェットプリンター用大容量インクカートリッジ詰め替え用インク","03D01"
"02","インクタンク詰替用インク","03D01"
"02","コンピュータープリンター用インク","03D01"
"02","コンピュータプリンター用インキ","03D01"
"02","コンピュータプリンター用インク","03D01"
"02","インクジェットプリンター用大容量インクカートリッジ（充てんされたもの）","11C01"
"02","印刷機用トナーカートリッジ","09A11"
"03","家庭用タール除去剤","01A01"
"03","家庭用ピッチ除去剤","01A01"
"03","家庭用水垢除去剤","01A01"
"03","自動車用ワックス除去剤","01A01"
"03","洗濯用抗菌剤","01A01"
"03","洗濯用除菌剤","01A01"
"03","エクステンション用人工まつ毛のための接着剤","01A02"
"03","動物用消臭剤","01B01"
"03","自動車のエンジンルーム用つや出し剤","03F01"
"03","自動車内装用つや出し剤","03F01"
"03","自動車用撥水性つや出し剤","03F01"
"03","台所用品及びガラス製品のつや出し剤","03F01"
"03","キッチンシンク等の台所用クリーナー","04A01"
"03","クレンザー","04A01"
"03","コゲ落とし用クリーナー","04A01"
"03","さび落とし用クリーナー","04A01"
"03","ジェル状のせっけん類","04A01"
"03","シャンプーその他のせっけん類","04A01"
"03","ふき取り繊維及びティッシュに含ませた皮膚使用目的のものを含む洗浄剤（製造工程用及び医療用のものを除く。）","04A01"
"03","ボディ用清浄剤","04A01"
"03","ボディ用洗浄剤","04A01"
"03","メイク落し用せっけん","04A01"
"03","ヤケ落とし用クリーナー","04A01"
"03","レンジ・ガス台・換気扇等の台所用クリーナー","04A01"
"03","愛玩動物用せっけん類","04A01"
"03","育毛効果を有するせっけん類","04A01"
